dataset,classifier,prevalence,t_star,f1_at_tstar,aamass_default,aamass_tstar,gain,auc_roc
brfss,LogisticRegression,0.0942,0.1676,0.4198,0.0312,0.2909,0.2597,0.8468
brfss,RandomForest,0.0942,0.207,0.3868,0.0437,0.2135,0.1698,0.8175
brfss,XGBoost,0.0942,0.1922,0.4106,0.0356,0.2265,0.1909,0.8446
creditcard,LogisticRegression,0.0017,0.0691,0.7465,0.0002,0.9982,0.998,0.9605
creditcard,RandomForest,0.0017,0.3941,0.8936,0.0002,0.0003,0.0001,0.963
creditcard,XGBoost,0.0017,0.862,0.8444,0.0,0.0001,0.0001,0.939
heart,LogisticRegression,0.5543,0.5172,0.8962,0.0815,0.0815,0.0,0.8971
heart,RandomForest,0.5543,0.3941,0.8991,0.1087,0.1087,0.0,0.9229
heart,XGBoost,0.5543,0.2612,0.89,0.0217,0.0598,0.0381,0.923
nslkdd,LogisticRegression,0.8002,0.6896,0.89,0.0,0.3634,0.3634,0.4965
nslkdd,RandomForest,0.8002,0.01,0.889,0.0113,0.0,-0.0113,0.5119
nslkdd,XGBoost,0.8002,0.0888,0.8896,0.0305,0.0023,-0.0282,0.4662
readmissions,LogisticRegression,0.4702,0.335,0.646,0.5258,0.5156,-0.0102,0.6459
readmissions,RandomForest,0.4702,0.271,0.6425,0.466,0.2638,-0.2022,0.6353
readmissions,XGBoost,0.4702,0.2218,0.6433,0.3762,0.2146,-0.1616,0.6321
uci_credit,LogisticRegression,0.2212,0.2858,0.5034,0.096,0.3837,0.2877,0.7076
uci_credit,RandomForest,0.2212,0.3006,0.5262,0.0898,0.2217,0.1319,0.7507
uci_credit,XGBoost,0.2212,0.3153,0.5184,0.0727,0.1645,0.0918,0.7565
