source,dataset,classifier,metric,mean,ci_lower,ci_upper,ci_width
real,heart,LogisticRegression,aamass,0.0831,0.0461,0.1196,0.0735
real,heart,LogisticRegression,auc_roc,0.8977,0.8482,0.9419,0.0937
real,heart,RandomForest,aamass,0.1081,0.0652,0.1522,0.087
real,heart,RandomForest,auc_roc,0.9234,0.8815,0.9596,0.0781
real,heart,XGBoost,aamass,0.0212,0.0054,0.0435,0.0381
real,heart,XGBoost,auc_roc,0.9234,0.885,0.9567,0.0717
real,uci_credit,LogisticRegression,aamass,0.0961,0.0888,0.1033,0.0145
real,uci_credit,LogisticRegression,auc_roc,0.708,0.6897,0.7264,0.0367
real,uci_credit,RandomForest,aamass,0.09,0.0825,0.0968,0.0143
real,uci_credit,RandomForest,auc_roc,0.7511,0.7348,0.7676,0.0328
real,uci_credit,XGBoost,aamass,0.0726,0.0659,0.079,0.0131
real,uci_credit,XGBoost,auc_roc,0.7571,0.7418,0.7734,0.0316
real,readmissions,LogisticRegression,aamass,0.5256,0.5126,0.5381,0.0255
real,readmissions,LogisticRegression,auc_roc,0.6462,0.6311,0.6613,0.0302
real,readmissions,RandomForest,aamass,0.4655,0.4519,0.48,0.0281
real,readmissions,RandomForest,auc_roc,0.6356,0.6189,0.6508,0.0319
real,readmissions,XGBoost,aamass,0.3755,0.3616,0.3884,0.0268
real,readmissions,XGBoost,auc_roc,0.6326,0.6164,0.6483,0.0319
real,nslkdd,LogisticRegression,aamass,0.0,0.0,0.0,0.0
real,nslkdd,LogisticRegression,auc_roc,0.4962,0.4487,0.5478,0.0991
real,nslkdd,RandomForest,aamass,0.0116,0.0056,0.0181,0.0125
real,nslkdd,RandomForest,auc_roc,0.5111,0.468,0.5541,0.0861
real,nslkdd,XGBoost,aamass,0.0306,0.0197,0.0418,0.0221
real,nslkdd,XGBoost,auc_roc,0.4676,0.4242,0.5213,0.0971
synthetic,constant_auc_variant_a,LogisticRegression,aapr,0.3593,0.3007,0.4455,0.1448
synthetic,constant_auc_variant_a,LogisticRegression,aaf1,0.2877,0.2334,0.3607,0.1273
synthetic,constant_auc_variant_a,LogisticRegression,aamass,0.0579,0.017,0.1065,0.0895
synthetic,constant_auc_variant_a,LogisticRegression,auc_roc,0.9631,0.9368,0.9762,0.0395
synthetic,constant_auc_variant_a,RandomForest,aapr,0.0968,0.0076,0.3292,0.3216
synthetic,constant_auc_variant_a,RandomForest,aaf1,0.0866,0.0065,0.2996,0.2931
synthetic,constant_auc_variant_a,RandomForest,aamass,0.0015,0.0,0.01,0.01
synthetic,constant_auc_variant_a,RandomForest,auc_roc,1.0,1.0,1.0,0.0
synthetic,constant_auc_variant_a,XGBoost,aapr,0.0585,0.0179,0.119,0.1012
synthetic,constant_auc_variant_a,XGBoost,aaf1,0.0448,0.0132,0.0923,0.079
synthetic,constant_auc_variant_a,XGBoost,aamass,0.0008,0.0,0.006,0.006
synthetic,constant_auc_variant_a,XGBoost,auc_roc,1.0,0.9999,1.0,0.0001
synthetic,constant_auc_variant_b,LogisticRegression,aapr,0.1081,0.0812,0.1523,0.0711
synthetic,constant_auc_variant_b,LogisticRegression,aaf1,0.0791,0.0587,0.1123,0.0536
synthetic,constant_auc_variant_b,LogisticRegression,aamass,0.0116,0.0018,0.02,0.0182
synthetic,constant_auc_variant_b,LogisticRegression,auc_roc,0.9981,0.9957,1.0,0.0043
synthetic,constant_auc_variant_b,RandomForest,aapr,0.1309,0.0079,0.3264,0.3185
synthetic,constant_auc_variant_b,RandomForest,aaf1,0.1177,0.0062,0.2971,0.291
synthetic,constant_auc_variant_b,RandomForest,aamass,0.0021,0.0,0.01,0.01
synthetic,constant_auc_variant_b,RandomForest,auc_roc,1.0,1.0,1.0,0.0
synthetic,constant_auc_variant_b,XGBoost,aapr,0.072,0.0135,0.2665,0.2531
synthetic,constant_auc_variant_b,XGBoost,aaf1,0.0628,0.011,0.2422,0.2313
synthetic,constant_auc_variant_b,XGBoost,aamass,0.0009,0.0,0.007,0.007
synthetic,constant_auc_variant_b,XGBoost,auc_roc,1.0,1.0,1.0,0.0
synthetic,high_ambiguity,LogisticRegression,aapr,0.9647,0.946,0.9837,0.0377
synthetic,high_ambiguity,LogisticRegression,aaf1,1.0,1.0,1.0,0.0
synthetic,high_ambiguity,LogisticRegression,aamass,0.6228,0.5117,0.73,0.2183
synthetic,high_ambiguity,LogisticRegression,auc_roc,0.6162,0.5385,0.6664,0.1279
synthetic,high_ambiguity,RandomForest,aapr,0.1386,0.0052,0.3322,0.327
synthetic,high_ambiguity,RandomForest,aaf1,0.1249,0.0044,0.3024,0.298
synthetic,high_ambiguity,RandomForest,aamass,0.0015,0.0,0.0083,0.0083
synthetic,high_ambiguity,RandomForest,auc_roc,1.0,1.0,1.0,0.0
synthetic,high_ambiguity,XGBoost,aapr,0.148,0.0785,0.1988,0.1203
synthetic,high_ambiguity,XGBoost,aaf1,0.1194,0.0635,0.1618,0.0983
synthetic,high_ambiguity,XGBoost,aamass,0.0017,0.0,0.0103,0.0103
synthetic,high_ambiguity,XGBoost,auc_roc,1.0,0.9998,1.0,0.0002
synthetic,overlapping,LogisticRegression,aapr,0.283,0.2306,0.3683,0.1377
synthetic,overlapping,LogisticRegression,aaf1,0.2202,0.1738,0.2906,0.1168
synthetic,overlapping,LogisticRegression,aamass,0.0417,0.0235,0.06,0.0365
synthetic,overlapping,LogisticRegression,auc_roc,0.9789,0.9616,0.9878,0.0262
synthetic,overlapping,RandomForest,aapr,0.1245,0.0069,0.3333,0.3264
synthetic,overlapping,RandomForest,aaf1,0.1116,0.0055,0.3034,0.2979
synthetic,overlapping,RandomForest,aamass,0.004,0.0,0.0165,0.0165
synthetic,overlapping,RandomForest,auc_roc,1.0,1.0,1.0,0.0
synthetic,overlapping,XGBoost,aapr,0.0486,0.0079,0.1008,0.0929
synthetic,overlapping,XGBoost,aaf1,0.038,0.0062,0.0791,0.0729
synthetic,overlapping,XGBoost,aamass,0.0021,0.0,0.01,0.01
synthetic,overlapping,XGBoost,auc_roc,1.0,0.9999,1.0,0.0001
synthetic,well_separated,LogisticRegression,aapr,0.0224,0.0057,0.0452,0.0394
synthetic,well_separated,LogisticRegression,aaf1,0.0174,0.0042,0.0356,0.0313
synthetic,well_separated,LogisticRegression,aamass,0.0,0.0,0.0,0.0
synthetic,well_separated,LogisticRegression,auc_roc,1.0,1.0,1.0,0.0
synthetic,well_separated,RandomForest,aapr,0.322,0.2233,0.3333,0.11
