dataset,classifier,delta,aapr,aaf1,aamass,auc_roc,brier,ece,n_train,n_test,prevalence_train,prevalence_test,fit_time_s
brfss,LogisticRegression,0.05,0.9643,0.9386,0.0148,0.8468,0.0708,0.0093,202944,50736,0.0942,0.0942,0.1045
brfss,LogisticRegression,0.1,0.9643,0.9386,0.0312,0.8468,0.0708,0.0093,202944,50736,0.0942,0.0942,0.1045
brfss,LogisticRegression,0.15,0.9643,0.9386,0.0487,0.8468,0.0708,0.0093,202944,50736,0.0942,0.0942,0.1045
brfss,LogisticRegression,0.2,0.9643,0.9386,0.0712,0.8468,0.0708,0.0093,202944,50736,0.0942,0.0942,0.1045
brfss,LogisticRegression,0.25,0.9643,0.9386,0.1018,0.8468,0.0708,0.0093,202944,50736,0.0942,0.0942,0.1045
brfss,LogisticRegression,0.3,0.9643,0.9386,0.142,0.8468,0.0708,0.0093,202944,50736,0.0942,0.0942,0.1045
brfss,RandomForest,0.05,0.9743,0.9542,0.022,0.8175,0.075,0.0197,202944,50736,0.0942,0.0942,10.9722
brfss,RandomForest,0.1,0.9743,0.9542,0.0437,0.8175,0.075,0.0197,202944,50736,0.0942,0.0942,10.9722
brfss,RandomForest,0.15,0.9743,0.9542,0.0703,0.8175,0.075,0.0197,202944,50736,0.0942,0.0942,10.9722
brfss,RandomForest,0.2,0.9743,0.9542,0.1002,0.8175,0.075,0.0197,202944,50736,0.0942,0.0942,10.9722
brfss,RandomForest,0.25,0.9743,0.9542,0.1367,0.8175,0.075,0.0197,202944,50736,0.0942,0.0942,10.9722
brfss,RandomForest,0.3,0.9743,0.9542,0.1848,0.8175,0.075,0.0197,202944,50736,0.0942,0.0942,10.9722
brfss,XGBoost,0.05,0.9654,0.9428,0.0165,0.8446,0.0711,0.0076,202944,50736,0.0942,0.0942,0.3626
brfss,XGBoost,0.1,0.9654,0.9428,0.0356,0.8446,0.0711,0.0076,202944,50736,0.0942,0.0942,0.3626
brfss,XGBoost,0.15,0.9654,0.9428,0.0571,0.8446,0.0711,0.0076,202944,50736,0.0942,0.0942,0.3626
brfss,XGBoost,0.2,0.9654,0.9428,0.0821,0.8446,0.0711,0.0076,202944,50736,0.0942,0.0942,0.3626
brfss,XGBoost,0.25,0.9654,0.9428,0.1125,0.8446,0.0711,0.0076,202944,50736,0.0942,0.0942,0.3626
brfss,XGBoost,0.3,0.9654,0.9428,0.1554,0.8446,0.0711,0.0076,202944,50736,0.0942,0.0942,0.3626
