dataset,classifier,prevalence,aamass_raw,aamass_cal,gain,auc_raw,auc_cal
heart,LogisticRegression,0.5543,0.0815,0.087,0.0055,0.8971,0.8968
heart,RandomForest,0.5543,0.1087,0.0489,-0.0598,0.9229,0.9293
heart,XGBoost,0.5543,0.0217,0.0435,0.0218,0.923,0.9305
uci_credit,LogisticRegression,0.2212,0.096,0.0945,-0.0015,0.7076,0.7077
uci_credit,RandomForest,0.2212,0.0898,0.0718,-0.018,0.7507,0.7594
uci_credit,XGBoost,0.2212,0.0727,0.0618,-0.0109,0.7565,0.7655
readmissions,LogisticRegression,0.4702,0.5258,0.535,0.0092,0.6459,0.6458
readmissions,RandomForest,0.4702,0.466,0.561,0.095,0.6353,0.6399
readmissions,XGBoost,0.4702,0.3762,0.595,0.2188,0.6321,0.641
nslkdd,LogisticRegression,0.8002,0.0,0.0,0.0,0.4965,0.4964
nslkdd,RandomForest,0.8002,0.0113,0.0,-0.0113,0.5119,0.4801
nslkdd,XGBoost,0.8002,0.0305,0.0,-0.0305,0.4662,0.5378
brfss,LogisticRegression,0.0942,0.0312,0.0313,0.0001,0.8468,0.8468
brfss,RandomForest,0.0942,0.0437,0.0242,-0.0195,0.8175,0.8256
brfss,XGBoost,0.0942,0.0356,0.0248,-0.0108,0.8446,0.8477
creditcard,LogisticRegression,0.0017,0.0002,0.0001,-0.0001,0.9605,0.9607
creditcard,RandomForest,0.0017,0.0002,0.0001,-0.0001,0.963,0.966
creditcard,XGBoost,0.0017,0.0,0.0002,0.0002,0.939,0.9491
