dataset,classifier,calibration,aapr,aaf1,aamass,auc_roc,brier,ece
brfss,LogisticRegression,isotonic,0.9685,0.9565,0.0308,0.8468,0.0705,0.0027
brfss,LogisticRegression,platt,0.9644,0.9389,0.0313,0.8468,0.0708,0.0094
brfss,LogisticRegression,raw,0.9643,0.9386,0.0312,0.8468,0.0708,0.0093
brfss,RandomForest,isotonic,0.99,1.0,0.018,0.8261,0.0728,0.0051
brfss,RandomForest,platt,0.9858,0.9777,0.0242,0.8256,0.0745,0.0211
brfss,RandomForest,raw,0.9743,0.9542,0.0437,0.8175,0.075,0.0197
brfss,XGBoost,isotonic,0.9732,0.9716,0.0312,0.8476,0.0705,0.0037
brfss,XGBoost,platt,0.966,0.9311,0.0248,0.8477,0.0725,0.0202
brfss,XGBoost,raw,0.9654,0.9428,0.0356,0.8446,0.0711,0.0076
creditcard,LogisticRegression,isotonic,0.522,0.3392,0.0002,0.9599,0.0007,0.0002
creditcard,LogisticRegression,platt,0.5173,0.3191,0.0001,0.9607,0.0008,0.0005
creditcard,LogisticRegression,raw,0.5094,0.3112,0.0002,0.9605,0.0008,0.0004
creditcard,RandomForest,isotonic,0.3116,0.1805,0.0001,0.9662,0.0004,0.0002
creditcard,RandomForest,platt,0.2676,0.1518,0.0001,0.966,0.0004,0.0002
creditcard,RandomForest,raw,0.3657,0.2324,0.0002,0.963,0.0004,0.0004
creditcard,XGBoost,isotonic,0.3769,0.2386,0.0002,0.9527,0.0004,0.0004
creditcard,XGBoost,platt,0.3885,0.2604,0.0002,0.9491,0.0004,0.0005
creditcard,XGBoost,raw,0.3264,0.1823,0.0,0.939,0.0005,0.0005
heart,LogisticRegression,isotonic,0.4626,0.3871,0.0272,0.8966,0.116,0.0723
heart,LogisticRegression,platt,0.5054,0.441,0.087,0.8968,0.1166,0.0665
heart,LogisticRegression,raw,0.4802,0.4079,0.0815,0.8971,0.1154,0.0554
heart,RandomForest,isotonic,0.4322,0.3678,0.0924,0.929,0.0946,0.0685
heart,RandomForest,platt,0.4429,0.3981,0.0489,0.9293,0.0914,0.0673
heart,RandomForest,raw,0.4715,0.4066,0.1087,0.9229,0.1024,0.0785
heart,XGBoost,isotonic,0.4411,0.3749,0.0489,0.9322,0.0962,0.0597
heart,XGBoost,platt,0.4859,0.4653,0.0435,0.9305,0.0992,0.0555
heart,XGBoost,raw,0.3716,0.2847,0.0217,0.923,0.111,0.0892
nslkdd,LogisticRegression,isotonic,0.5986,0.6512,0.0,0.4897,0.1601,0.0086
nslkdd,LogisticRegression,platt,0.6011,0.6446,0.0,0.4964,0.1604,0.0161
nslkdd,LogisticRegression,raw,0.5973,0.6252,0.0,0.4965,0.1609,0.0352
nslkdd,RandomForest,isotonic,0.6004,0.6483,0.0,0.5032,0.1601,0.0145
nslkdd,RandomForest,platt,0.6002,0.6533,0.0,0.4801,0.1601,0.0119
nslkdd,RandomForest,raw,0.6229,0.6308,0.0113,0.5119,0.1649,0.0426
nslkdd,XGBoost,isotonic,0.6003,0.6488,0.0,0.4682,0.1606,0.0122
nslkdd,XGBoost,platt,0.5994,0.6528,0.0,0.5378,0.1597,0.0172
nslkdd,XGBoost,raw,0.473,0.385,0.0305,0.4662,0.1889,0.1433
readmissions,LogisticRegression,isotonic,0.9638,1.0,0.416,0.6454,0.2326,0.0161
readmissions,LogisticRegression,platt,0.9672,1.0,0.535,0.6458,0.2331,0.0237
readmissions,LogisticRegression,raw,0.9666,1.0,0.5258,0.6459,0.2331,0.0237
readmissions,RandomForest,isotonic,0.9737,1.0,0.5644,0.6395,0.2343,0.0107
readmissions,RandomForest,platt,0.9757,1.0,0.561,0.6399,0.2342,0.0106
readmissions,RandomForest,raw,0.9584,1.0,0.466,0.6353,0.237,0.033
readmissions,XGBoost,isotonic,0.9744,1.0,0.587,0.6414,0.234,0.0167
readmissions,XGBoost,platt,0.9781,1.0,0.595,0.641,0.2342,0.0159
readmissions,XGBoost,raw,0.9515,0.9975,0.3762,0.6321,0.2421,0.0579
uci_credit,LogisticRegression,isotonic,0.9424,0.9404,0.0598,0.7084,0.1431,0.0094
uci_credit,LogisticRegression,platt,0.9729,1.0,0.0945,0.7077,0.1468,0.0489
uci_credit,LogisticRegression,raw,0.9717,1.0,0.096,0.7076,0.1467,0.0497
uci_credit,RandomForest,isotonic,0.9306,0.9263,0.0818,0.7592,0.1378,0.0064
uci_credit,RandomForest,platt,0.9301,0.9237,0.0718,0.7594,0.1378,0.0141
uci_credit,RandomForest,raw,0.923,0.9039,0.0898,0.7507,0.1405,0.0312
uci_credit,XGBoost,isotonic,0.9398,0.9475,0.0727,0.7659,0.1378,0.0106
uci_credit,XGBoost,platt,0.9385,0.9425,0.0618,0.7655,0.1381,0.0155
uci_credit,XGBoost,raw,0.9155,0.878,0.0727,0.7565,0.1419,0.0431
