dataset,classifier,delta,aapr,aaf1,aamass,auc_roc,brier,ece,n_train,n_test,prevalence_train,prevalence_test,fit_time_s
creditcard,LogisticRegression,0.05,0.5094,0.3112,0.0001,0.9605,0.0008,0.0004,227845,56962,0.0017,0.0017,0.1769
creditcard,LogisticRegression,0.1,0.5094,0.3112,0.0002,0.9605,0.0008,0.0004,227845,56962,0.0017,0.0017,0.1769
creditcard,LogisticRegression,0.15,0.5094,0.3112,0.0003,0.9605,0.0008,0.0004,227845,56962,0.0017,0.0017,0.1769
creditcard,LogisticRegression,0.2,0.5094,0.3112,0.0004,0.9605,0.0008,0.0004,227845,56962,0.0017,0.0017,0.1769
creditcard,LogisticRegression,0.25,0.5094,0.3112,0.0005,0.9605,0.0008,0.0004,227845,56962,0.0017,0.0017,0.1769
creditcard,LogisticRegression,0.3,0.5094,0.3112,0.0006,0.9605,0.0008,0.0004,227845,56962,0.0017,0.0017,0.1769
creditcard,RandomForest,0.05,0.3657,0.2324,0.0001,0.963,0.0004,0.0004,227845,56962,0.0017,0.0017,150.4046
creditcard,RandomForest,0.1,0.3657,0.2324,0.0002,0.963,0.0004,0.0004,227845,56962,0.0017,0.0017,150.4046
creditcard,RandomForest,0.15,0.3657,0.2324,0.0004,0.963,0.0004,0.0004,227845,56962,0.0017,0.0017,150.4046
creditcard,RandomForest,0.2,0.3657,0.2324,0.0005,0.963,0.0004,0.0004,227845,56962,0.0017,0.0017,150.4046
creditcard,RandomForest,0.25,0.3657,0.2324,0.0006,0.963,0.0004,0.0004,227845,56962,0.0017,0.0017,150.4046
creditcard,RandomForest,0.3,0.3657,0.2324,0.0008,0.963,0.0004,0.0004,227845,56962,0.0017,0.0017,150.4046
creditcard,XGBoost,0.05,0.3264,0.1823,0.0,0.939,0.0005,0.0005,227845,56962,0.0017,0.0017,0.7372
creditcard,XGBoost,0.1,0.3264,0.1823,0.0,0.939,0.0005,0.0005,227845,56962,0.0017,0.0017,0.7372
creditcard,XGBoost,0.15,0.3264,0.1823,0.0001,0.939,0.0005,0.0005,227845,56962,0.0017,0.0017,0.7372
creditcard,XGBoost,0.2,0.3264,0.1823,0.0001,0.939,0.0005,0.0005,227845,56962,0.0017,0.0017,0.7372
creditcard,XGBoost,0.25,0.3264,0.1823,0.0001,0.939,0.0005,0.0005,227845,56962,0.0017,0.0017,0.7372
creditcard,XGBoost,0.3,0.3264,0.1823,0.0001,0.939,0.0005,0.0005,227845,56962,0.0017,0.0017,0.7372
