dataset,classifier,entropy,margin,aamass,aapr,auc_roc
brfss,LogisticRegression,0.2372,0.177,0.0312,0.9643,0.8468
brfss,RandomForest,0.2248,0.1861,0.0437,0.9743,0.8175
brfss,XGBoost,0.2286,0.1777,0.0356,0.9654,0.8446
creditcard,LogisticRegression,0.0038,0.0014,0.0002,0.5094,0.9605
creditcard,RandomForest,0.0026,0.0014,0.0002,0.3657,0.963
creditcard,XGBoost,,0.0002,0.0,0.3264,0.939
heart,LogisticRegression,0.351,0.2932,0.0815,0.4802,0.8971
heart,RandomForest,0.3579,0.3229,0.1087,0.4715,0.9229
heart,XGBoost,0.1642,0.1366,0.0217,0.3716,0.923
nslkdd,LogisticRegression,0.4947,0.3969,0.0,0.5973,0.4965
nslkdd,RandomForest,0.5164,0.446,0.0113,0.6229,0.5119
nslkdd,XGBoost,0.2597,0.1905,0.0305,0.473,0.4662
readmissions,LogisticRegression,0.656,0.7858,0.5258,0.9666,0.6459
readmissions,RandomForest,0.639,0.7393,0.466,0.9584,0.6353
readmissions,XGBoost,0.6108,0.6841,0.3762,0.9515,0.6321
uci_credit,LogisticRegression,0.4615,0.4041,0.096,0.9717,0.7076
uci_credit,RandomForest,0.4296,0.3747,0.0898,0.923,0.7507
uci_credit,XGBoost,0.3853,0.3253,0.0727,0.9155,0.7565
