dataset,classifier,delta,aapr,aaf1,aamass,auc_roc,brier,ece,n_train,n_test,prevalence_train,prevalence_test,fit_time_s
heart,LogisticRegression,0.05,0.4802,0.4079,0.0435,0.8971,0.1154,0.0554,734,184,0.5531,0.5543,0.0217
heart,LogisticRegression,0.1,0.4802,0.4079,0.0815,0.8971,0.1154,0.0554,734,184,0.5531,0.5543,0.0217
heart,LogisticRegression,0.15,0.4802,0.4079,0.1141,0.8971,0.1154,0.0554,734,184,0.5531,0.5543,0.0217
heart,LogisticRegression,0.2,0.4802,0.4079,0.1467,0.8971,0.1154,0.0554,734,184,0.5531,0.5543,0.0217
heart,LogisticRegression,0.25,0.4802,0.4079,0.2065,0.8971,0.1154,0.0554,734,184,0.5531,0.5543,0.0217
heart,LogisticRegression,0.3,0.4802,0.4079,0.2609,0.8971,0.1154,0.0554,734,184,0.5531,0.5543,0.0217
heart,RandomForest,0.05,0.4715,0.4066,0.0543,0.9229,0.1024,0.0785,734,184,0.5531,0.5543,0.1067
heart,RandomForest,0.1,0.4715,0.4066,0.1087,0.9229,0.1024,0.0785,734,184,0.5531,0.5543,0.1067
heart,RandomForest,0.15,0.4715,0.4066,0.1685,0.9229,0.1024,0.0785,734,184,0.5531,0.5543,0.1067
heart,RandomForest,0.2,0.4715,0.4066,0.2174,0.9229,0.1024,0.0785,734,184,0.5531,0.5543,0.1067
heart,RandomForest,0.25,0.4715,0.4066,0.2609,0.9229,0.1024,0.0785,734,184,0.5531,0.5543,0.1067
heart,RandomForest,0.3,0.4715,0.4066,0.3696,0.9229,0.1024,0.0785,734,184,0.5531,0.5543,0.1067
heart,XGBoost,0.05,0.3716,0.2847,0.0109,0.923,0.111,0.0892,734,184,0.5531,0.5543,0.0653
heart,XGBoost,0.1,0.3716,0.2847,0.0217,0.923,0.111,0.0892,734,184,0.5531,0.5543,0.0653
heart,XGBoost,0.15,0.3716,0.2847,0.0761,0.923,0.111,0.0892,734,184,0.5531,0.5543,0.0653
heart,XGBoost,0.2,0.3716,0.2847,0.1033,0.923,0.111,0.0892,734,184,0.5531,0.5543,0.0653
heart,XGBoost,0.25,0.3716,0.2847,0.125,0.923,0.111,0.0892,734,184,0.5531,0.5543,0.0653
heart,XGBoost,0.3,0.3716,0.2847,0.1467,0.923,0.111,0.0892,734,184,0.5531,0.5543,0.0653
