dataset,classifier,delta,aapr,aaf1,aamass,auc_roc,brier,ece,n_train,n_test,prevalence_train,prevalence_test,fit_time_s
nslkdd,LogisticRegression,0.05,0.5973,0.6252,0.0,0.4965,0.1609,0.0352,3544,886,0.7999,0.8002,0.0026
nslkdd,LogisticRegression,0.1,0.5973,0.6252,0.0,0.4965,0.1609,0.0352,3544,886,0.7999,0.8002,0.0026
nslkdd,LogisticRegression,0.15,0.5973,0.6252,0.0,0.4965,0.1609,0.0352,3544,886,0.7999,0.8002,0.0026
nslkdd,LogisticRegression,0.2,0.5973,0.6252,0.0056,0.4965,0.1609,0.0352,3544,886,0.7999,0.8002,0.0026
nslkdd,LogisticRegression,0.25,0.5973,0.6252,0.0564,0.4965,0.1609,0.0352,3544,886,0.7999,0.8002,0.0026
nslkdd,LogisticRegression,0.3,0.5973,0.6252,0.4639,0.4965,0.1609,0.0352,3544,886,0.7999,0.8002,0.0026
nslkdd,RandomForest,0.05,0.6229,0.6308,0.0023,0.5119,0.1649,0.0426,3544,886,0.7999,0.8002,2.3939
nslkdd,RandomForest,0.1,0.6229,0.6308,0.0113,0.5119,0.1649,0.0426,3544,886,0.7999,0.8002,2.3939
nslkdd,RandomForest,0.15,0.6229,0.6308,0.0429,0.5119,0.1649,0.0426,3544,886,0.7999,0.8002,2.3939
nslkdd,RandomForest,0.2,0.6229,0.6308,0.1456,0.5119,0.1649,0.0426,3544,886,0.7999,0.8002,2.3939
nslkdd,RandomForest,0.25,0.6229,0.6308,0.3702,0.5119,0.1649,0.0426,3544,886,0.7999,0.8002,2.3939
nslkdd,RandomForest,0.3,0.6229,0.6308,0.6219,0.5119,0.1649,0.0426,3544,886,0.7999,0.8002,2.3939
nslkdd,XGBoost,0.05,0.473,0.385,0.009,0.4662,0.1889,0.1433,3544,886,0.7999,0.8002,0.1841
nslkdd,XGBoost,0.1,0.473,0.385,0.0305,0.4662,0.1889,0.1433,3544,886,0.7999,0.8002,0.1841
nslkdd,XGBoost,0.15,0.473,0.385,0.0508,0.4662,0.1889,0.1433,3544,886,0.7999,0.8002,0.1841
nslkdd,XGBoost,0.2,0.473,0.385,0.0711,0.4662,0.1889,0.1433,3544,886,0.7999,0.8002,0.1841
nslkdd,XGBoost,0.25,0.473,0.385,0.1027,0.4662,0.1889,0.1433,3544,886,0.7999,0.8002,0.1841
nslkdd,XGBoost,0.3,0.473,0.385,0.1546,0.4662,0.1889,0.1433,3544,886,0.7999,0.8002,0.1841
