dataset,classifier,delta,aapr,aaf1,aamass,auc_roc,brier,ece,n_train,n_test,prevalence_train,prevalence_test,fit_time_s
readmissions,LogisticRegression,0.05,0.9666,1.0,0.2206,0.6459,0.2331,0.0237,20000,5000,0.4702,0.4702,0.0092
readmissions,LogisticRegression,0.1,0.9666,1.0,0.5258,0.6459,0.2331,0.0237,20000,5000,0.4702,0.4702,0.0092
readmissions,LogisticRegression,0.15,0.9666,1.0,0.7908,0.6459,0.2331,0.0237,20000,5000,0.4702,0.4702,0.0092
readmissions,LogisticRegression,0.2,0.9666,1.0,0.9166,0.6459,0.2331,0.0237,20000,5000,0.4702,0.4702,0.0092
readmissions,LogisticRegression,0.25,0.9666,1.0,0.9508,0.6459,0.2331,0.0237,20000,5000,0.4702,0.4702,0.0092
readmissions,LogisticRegression,0.3,0.9666,1.0,0.968,0.6459,0.2331,0.0237,20000,5000,0.4702,0.4702,0.0092
readmissions,RandomForest,0.05,0.9584,1.0,0.2556,0.6353,0.237,0.033,20000,5000,0.4702,0.4702,1.6853
readmissions,RandomForest,0.1,0.9584,1.0,0.466,0.6353,0.237,0.033,20000,5000,0.4702,0.4702,1.6853
readmissions,RandomForest,0.15,0.9584,1.0,0.6454,0.6353,0.237,0.033,20000,5000,0.4702,0.4702,1.6853
readmissions,RandomForest,0.2,0.9584,1.0,0.7864,0.6353,0.237,0.033,20000,5000,0.4702,0.4702,1.6853
readmissions,RandomForest,0.25,0.9584,1.0,0.8842,0.6353,0.237,0.033,20000,5000,0.4702,0.4702,1.6853
readmissions,RandomForest,0.3,0.9584,1.0,0.9434,0.6353,0.237,0.033,20000,5000,0.4702,0.4702,1.6853
readmissions,XGBoost,0.05,0.9515,0.9975,0.1906,0.6321,0.2421,0.0579,20000,5000,0.4702,0.4702,0.0891
readmissions,XGBoost,0.1,0.9515,0.9975,0.3762,0.6321,0.2421,0.0579,20000,5000,0.4702,0.4702,0.0891
readmissions,XGBoost,0.15,0.9515,0.9975,0.5366,0.6321,0.2421,0.0579,20000,5000,0.4702,0.4702,0.0891
readmissions,XGBoost,0.2,0.9515,0.9975,0.674,0.6321,0.2421,0.0579,20000,5000,0.4702,0.4702,0.0891
readmissions,XGBoost,0.25,0.9515,0.9975,0.789,0.6321,0.2421,0.0579,20000,5000,0.4702,0.4702,0.0891
readmissions,XGBoost,0.3,0.9515,0.9975,0.8714,0.6321,0.2421,0.0579,20000,5000,0.4702,0.4702,0.0891
