mixture,n_samples,seed,classifier,delta,aapr,aaf1,aamass,auc_roc,fit_time_s
well_separated,500,42,LogisticRegression,0.05,0.0333,0.0263,0.0,1.0,0.022
well_separated,500,42,LogisticRegression,0.1,0.0333,0.0263,0.0,1.0,0.022
well_separated,500,42,LogisticRegression,0.15,0.0333,0.0263,0.0,1.0,0.022
well_separated,500,42,LogisticRegression,0.2,0.0333,0.0263,0.0,1.0,0.022
well_separated,500,42,LogisticRegression,0.25,0.0333,0.0263,0.0,1.0,0.022
well_separated,500,42,LogisticRegression,0.3,0.0333,0.0263,0.0,1.0,0.022
well_separated,500,42,RandomForest,0.05,0.3333,0.3034,0.0,1.0,0.0967
well_separated,500,42,RandomForest,0.1,0.3333,0.3034,0.0,1.0,0.0967
well_separated,500,42,RandomForest,0.15,0.3333,0.3034,0.0,1.0,0.0967
well_separated,500,42,RandomForest,0.2,0.3333,0.3034,0.0,1.0,0.0967
well_separated,500,42,RandomForest,0.25,0.3333,0.3034,0.0,1.0,0.0967
well_separated,500,42,RandomForest,0.3,0.3333,0.3034,0.0,1.0,0.0967
well_separated,500,42,XGBoost,0.05,0.3367,0.308,0.0,1.0,0.0307
well_separated,500,42,XGBoost,0.1,0.3367,0.308,0.0,1.0,0.0307
well_separated,500,42,XGBoost,0.15,0.3367,0.308,0.0,1.0,0.0307
well_separated,500,42,XGBoost,0.2,0.3367,0.308,0.0,1.0,0.0307
well_separated,500,42,XGBoost,0.25,0.3367,0.308,0.0,1.0,0.0307
well_separated,500,42,XGBoost,0.3,0.3367,0.308,0.0,1.0,0.0307
well_separated,500,123,LogisticRegression,0.05,0.0399,0.0317,0.0,1.0,0.0023
well_separated,500,123,LogisticRegression,0.1,0.0399,0.0317,0.0,1.0,0.0023
well_separated,500,123,LogisticRegression,0.15,0.0399,0.0317,0.0,1.0,0.0023
well_separated,500,123,LogisticRegression,0.2,0.0399,0.0317,0.0,1.0,0.0023
well_separated,500,123,LogisticRegression,0.25,0.0399,0.0317,0.0,1.0,0.0023
well_separated,500,123,LogisticRegression,0.3,0.0399,0.0317,0.0,1.0,0.0023
well_separated,500,123,RandomForest,0.05,0.3333,0.3034,0.0,1.0,0.1006
well_separated,500,123,RandomForest,0.1,0.3333,0.3034,0.0,1.0,0.1006
well_separated,500,123,RandomForest,0.15,0.3333,0.3034,0.0,1.0,0.1006
well_separated,500,123,RandomForest,0.2,0.3333,0.3034,0.0,1.0,0.1006
well_separated,500,123,RandomForest,0.25,0.3333,0.3034,0.0,1.0,0.1006
well_separated,500,123,RandomForest,0.3,0.3333,0.3034,0.0,1.0,0.1006
well_separated,500,123,XGBoost,0.05,0.3367,0.308,0.0,1.0,0.0348
well_separated,500,123,XGBoost,0.1,0.3367,0.308,0.0,1.0,0.0348
well_separated,500,123,XGBoost,0.15,0.3367,0.308,0.0,1.0,0.0348
well_separated,500,123,XGBoost,0.2,0.3367,0.308,0.0,1.0,0.0348
well_separated,500,123,XGBoost,0.25,0.3367,0.308,0.0,1.0,0.0348
well_separated,500,123,XGBoost,0.3,0.3367,0.308,0.0,1.0,0.0348
well_separated,500,456,LogisticRegression,0.05,0.0429,0.0335,0.0,1.0,0.002
well_separated,500,456,LogisticRegression,0.1,0.0429,0.0335,0.0,1.0,0.002
well_separated,500,456,LogisticRegression,0.15,0.0429,0.0335,0.0,1.0,0.002
well_separated,500,456,LogisticRegression,0.2,0.0429,0.0335,0.0,1.0,0.002
well_separated,500,456,LogisticRegression,0.25,0.0429,0.0335,0.0,1.0,0.002
well_separated,500,456,LogisticRegression,0.3,0.0429,0.0335,0.0,1.0,0.002
well_separated,500,456,RandomForest,0.05,0.3333,0.3034,0.0,1.0,0.0874
well_separated,500,456,RandomForest,0.1,0.3333,0.3034,0.0,1.0,0.0874
well_separated,500,456,RandomForest,0.15,0.3333,0.3034,0.0,1.0,0.0874
well_separated,500,456,RandomForest,0.2,0.3333,0.3034,0.0,1.0,0.0874
well_separated,500,456,RandomForest,0.25,0.3333,0.3034,0.0,1.0,0.0874
well_separated,500,456,RandomForest,0.3,0.3333,0.3034,0.0,1.0,0.0874
well_separated,500,456,XGBoost,0.05,0.3367,0.308,0.0,1.0,0.0251
well_separated,500,456,XGBoost,0.1,0.3367,0.308,0.0,1.0,0.0251
well_separated,500,456,XGBoost,0.15,0.3367,0.308,0.0,1.0,0.0251
well_separated,500,456,XGBoost,0.2,0.3367,0.308,0.0,1.0,0.0251
well_separated,500,456,XGBoost,0.25,0.3367,0.308,0.0,1.0,0.0251
well_separated,500,456,XGBoost,0.3,0.3367,0.308,0.0,1.0,0.0251
well_separated,500,789,LogisticRegression,0.05,0.0464,0.0367,0.0,1.0,0.0036
well_separated,500,789,LogisticRegression,0.1,0.0464,0.0367,0.0,1.0,0.0036
well_separated,500,789,LogisticRegression,0.15,0.0464,0.0367,0.0,1.0,0.0036
well_separated,500,789,LogisticRegression,0.2,0.0464,0.0367,0.0,1.0,0.0036
well_separated,500,789,LogisticRegression,0.25,0.0464,0.0367,0.0,1.0,0.0036
well_separated,500,789,LogisticRegression,0.3,0.0464,0.0367,0.0,1.0,0.0036
well_separated,500,789,RandomForest,0.05,0.3333,0.3034,0.0,1.0,0.1103
well_separated,500,789,RandomForest,0.1,0.3333,0.3034,0.0,1.0,0.1103
well_separated,500,789,RandomForest,0.15,0.3333,0.3034,0.0,1.0,0.1103
well_separated,500,789,RandomForest,0.2,0.3333,0.3034,0.0,1.0,0.1103
well_separated,500,789,RandomForest,0.25,0.3333,0.3034,0.0,1.0,0.1103
well_separated,500,789,RandomForest,0.3,0.3333,0.3034,0.0,1.0,0.1103
well_separated,500,789,XGBoost,0.05,0.3367,0.308,0.0,1.0,0.0242
well_separated,500,789,XGBoost,0.1,0.3367,0.308,0.0,1.0,0.0242
well_separated,500,789,XGBoost,0.15,0.3367,0.308,0.0,1.0,0.0242
well_separated,500,789,XGBoost,0.2,0.3367,0.308,0.0,1.0,0.0242
well_separated,500,789,XGBoost,0.25,0.3367,0.308,0.0,1.0,0.0242
well_separated,500,789,XGBoost,0.3,0.3367,0.308,0.0,1.0,0.0242
well_separated,500,1024,LogisticRegression,0.05,0.0325,0.0251,0.0,1.0,0.0018
well_separated,500,1024,LogisticRegression,0.1,0.0325,0.0251,0.0,1.0,0.0018
well_separated,500,1024,LogisticRegression,0.15,0.0325,0.0251,0.0,1.0,0.0018
well_separated,500,1024,LogisticRegression,0.2,0.0325,0.0251,0.0,1.0,0.0018
well_separated,500,1024,LogisticRegression,0.25,0.0325,0.0251,0.0,1.0,0.0018
well_separated,500,1024,LogisticRegression,0.3,0.0325,0.0251,0.0,1.0,0.0018
well_separated,500,1024,RandomForest,0.05,0.3333,0.3034,0.0,1.0,0.0926
well_separated,500,1024,RandomForest,0.1,0.3333,0.3034,0.0,1.0,0.0926
well_separated,500,1024,RandomForest,0.15,0.3333,0.3034,0.0,1.0,0.0926
well_separated,500,1024,RandomForest,0.2,0.3333,0.3034,0.0,1.0,0.0926
well_separated,500,1024,RandomForest,0.25,0.3333,0.3034,0.0,1.0,0.0926
well_separated,500,1024,RandomForest,0.3,0.3333,0.3034,0.0,1.0,0.0926
well_separated,500,1024,XGBoost,0.05,0.3367,0.308,0.0,1.0,0.0247
well_separated,500,1024,XGBoost,0.1,0.3367,0.308,0.0,1.0,0.0247
well_separated,500,1024,XGBoost,0.15,0.3367,0.308,0.0,1.0,0.0247
well_separated,500,1024,XGBoost,0.2,0.3367,0.308,0.0,1.0,0.0247
well_separated,500,1024,XGBoost,0.25,0.3367,0.308,0.0,1.0,0.0247
well_separated,500,1024,XGBoost,0.3,0.3367,0.308,0.0,1.0,0.0247
well_separated,1000,42,LogisticRegression,0.05,0.0215,0.0168,0.0,1.0,0.0044
well_separated,1000,42,LogisticRegression,0.1,0.0215,0.0168,0.0,1.0,0.0044
well_separated,1000,42,LogisticRegression,0.15,0.0215,0.0168,0.0,1.0,0.0044
well_separated,1000,42,LogisticRegression,0.2,0.0215,0.0168,0.0,1.0,0.0044
well_separated,1000,42,LogisticRegression,0.25,0.0215,0.0168,0.0,1.0,0.0044
well_separated,1000,42,LogisticRegression,0.3,0.0215,0.0168,0.0,1.0,0.0044
well_separated,1000,42,RandomForest,0.05,0.3333,0.3034,0.0,1.0,0.107
well_separated,1000,42,RandomForest,0.1,0.3333,0.3034,0.0,1.0,0.107
well_separated,1000,42,RandomForest,0.15,0.3333,0.3034,0.0,1.0,0.107
well_separated,1000,42,RandomForest,0.2,0.3333,0.3034,0.0,1.0,0.107
well_separated,1000,42,RandomForest,0.25,0.3333,0.3034,0.0,1.0,0.107
well_separated,1000,42,RandomForest,0.3,0.3333,0.3034,0.0,1.0,0.107
well_separated,1000,42,XGBoost,0.05,0.0225,0.0168,0.0,1.0,0.0338
well_separated,1000,42,XGBoost,0.1,0.0225,0.0168,0.0,1.0,0.0338
well_separated,1000,42,XGBoost,0.15,0.0225,0.0168,0.0,1.0,0.0338
well_separated,1000,42,XGBoost,0.2,0.0225,0.0168,0.0,1.0,0.0338
well_separated,1000,42,XGBoost,0.25,0.0225,0.0168,0.0,1.0,0.0338
well_separated,1000,42,XGBoost,0.3,0.0225,0.0168,0.0,1.0,0.0338
well_separated,1000,123,LogisticRegression,0.05,0.02,0.0154,0.0,1.0,0.0047
well_separated,1000,123,LogisticRegression,0.1,0.02,0.0154,0.0,1.0,0.0047
