mixture,classifier,aapr,aaf1,aamass,auc_roc
constant_auc_variant_a,LogisticRegression,0.3593,0.2877,0.1094,0.9631
constant_auc_variant_a,RandomForest,0.0968,0.0866,0.0018,1.0
constant_auc_variant_a,XGBoost,0.0585,0.0448,0.0017,1.0
constant_auc_variant_b,LogisticRegression,0.1081,0.0791,0.0267,0.9981
constant_auc_variant_b,RandomForest,0.1309,0.1177,0.0023,1.0
constant_auc_variant_b,XGBoost,0.072,0.0628,0.0034,1.0
high_ambiguity,LogisticRegression,0.9647,1.0,0.7755,0.6162
high_ambiguity,RandomForest,0.1386,0.1249,0.0016,1.0
high_ambiguity,XGBoost,0.148,0.1194,0.0026,1.0
overlapping,LogisticRegression,0.283,0.2202,0.0817,0.9789
overlapping,RandomForest,0.1245,0.1116,0.004,1.0
overlapping,XGBoost,0.0486,0.038,0.0024,1.0
well_separated,LogisticRegression,0.0224,0.0174,0.0,1.0
well_separated,RandomForest,0.322,0.2931,0.0001,1.0
well_separated,XGBoost,0.171,0.1552,0.0016,1.0
