dataset,classifier,delta,aapr,aaf1,aamass,auc_roc,brier,ece,n_train,n_test,prevalence_train,prevalence_test,fit_time_s
uci_credit,LogisticRegression,0.05,0.9717,1.0,0.0487,0.7076,0.1467,0.0497,24000,6000,0.2212,0.2212,0.0255
uci_credit,LogisticRegression,0.1,0.9717,1.0,0.096,0.7076,0.1467,0.0497,24000,6000,0.2212,0.2212,0.0255
uci_credit,LogisticRegression,0.15,0.9717,1.0,0.133,0.7076,0.1467,0.0497,24000,6000,0.2212,0.2212,0.0255
uci_credit,LogisticRegression,0.2,0.9717,1.0,0.168,0.7076,0.1467,0.0497,24000,6000,0.2212,0.2212,0.0255
uci_credit,LogisticRegression,0.25,0.9717,1.0,0.2638,0.7076,0.1467,0.0497,24000,6000,0.2212,0.2212,0.0255
uci_credit,LogisticRegression,0.3,0.9717,1.0,0.4637,0.7076,0.1467,0.0497,24000,6000,0.2212,0.2212,0.0255
uci_credit,RandomForest,0.05,0.923,0.9039,0.0432,0.7507,0.1405,0.0312,24000,6000,0.2212,0.2212,5.6601
uci_credit,RandomForest,0.1,0.923,0.9039,0.0898,0.7507,0.1405,0.0312,24000,6000,0.2212,0.2212,5.6601
uci_credit,RandomForest,0.15,0.923,0.9039,0.1438,0.7507,0.1405,0.0312,24000,6000,0.2212,0.2212,5.6601
uci_credit,RandomForest,0.2,0.923,0.9039,0.2068,0.7507,0.1405,0.0312,24000,6000,0.2212,0.2212,5.6601
uci_credit,RandomForest,0.25,0.923,0.9039,0.2893,0.7507,0.1405,0.0312,24000,6000,0.2212,0.2212,5.6601
uci_credit,RandomForest,0.3,0.923,0.9039,0.3977,0.7507,0.1405,0.0312,24000,6000,0.2212,0.2212,5.6601
uci_credit,XGBoost,0.05,0.9155,0.878,0.0352,0.7565,0.1419,0.0431,24000,6000,0.2212,0.2212,0.1512
uci_credit,XGBoost,0.1,0.9155,0.878,0.0727,0.7565,0.1419,0.0431,24000,6000,0.2212,0.2212,0.1512
uci_credit,XGBoost,0.15,0.9155,0.878,0.1115,0.7565,0.1419,0.0431,24000,6000,0.2212,0.2212,0.1512
uci_credit,XGBoost,0.2,0.9155,0.878,0.1672,0.7565,0.1419,0.0431,24000,6000,0.2212,0.2212,0.1512
uci_credit,XGBoost,0.25,0.9155,0.878,0.2322,0.7565,0.1419,0.0431,24000,6000,0.2212,0.2212,0.1512
uci_credit,XGBoost,0.3,0.9155,0.878,0.3118,0.7565,0.1419,0.0431,24000,6000,0.2212,0.2212,0.1512
